wj;I
mnjt;clothing fabric
mnjt;mineral cloth
mnjtj;vituperative name of Apophis
mnjj;to bring to an end, to complete
mnjt-Xkrjt;reward someone
mnj-sp=f;palace room
mnjA;wooden household appliance
mnjtjw;tree
mnjw;name for milk
mnjw;goddess
mnjwt;vessel
mnjwj;game
mna;umbrella
mnat;cool room
mnat;palace
mnaj;bottle
mnat;Necklace
mnw;necklace
mnw;tail on king apron
mnw;lion headed goddess
mnw;jug for oil
mnw;stone
mnw;sacred grove of Abaton
mnw;name of Osiris
mnw;gatekeeper, doorkeeper
mnw;made of leather
mnw;grain sifting
mnw;Bowl for water
mnw;star
mnw;god Month
mnw;tribes living in the NE of egypt
mnw;grain measure
mnwt;designation of the necropolis
mnwj;author of the flood
mnwjjt;precious objects
mnwr;Chest
mnwr;Part of the melting furnace
mnwr;Basket
mnwH;Part of the viscera
mnwHwt;Superior
mnpH;pyramid
mnpHt;to be sick, to suffer
mnft;Sick
mnftj;disease
mnfAt;channel
mnfj;weaving
mnfrt;ditch, canal
mnmt;Cattle pasture
mnmn;Relatives
mnmn;hoe
mnmnt;tie
mnmnt;pot
mnmnt;to attach to someone
mnmn-m-wbn;building
mnn;near
mnn;Mnevis
mnnw;fighting bull
mnnw;truth
mnnn;die
mnnt;early
mnrd;timber
mnht;dig
mnhjjw;disease
mnhp;bundle of clothes
mnhp;animal
mnhp;black cow
mnhp;bondwoman, subject
mnhs;singer
mnhD;throat
mnH;eye
mnH;board
mnH;container for clothes fabrics
mnH;Ship
mnH;Way
mnH;stuff strip
mnH;ambivalent
mnH;deity
mnHt;goddess of the Theban necropolis
mnHj;sacred barque of Aphroditopolis
mnHjt;pity
mnHw;title
mnHwj;military title
mnHt;title
mnx;title
mnx;Möris lake
mnx;Mnevis bull
mnx;Marsh plant
mnx;Head of bird catching
mnx;Caretaker
mnx;Lake in the sky
mnx;Chief of the willow
mnxt;General
mnxt;Head carpenter
mnxt;Chief of the goldsmiths
mnxt;Goddess of the 8 night hour
mnxt;Title of Horus
mnxt;Song master
mnxt;Land surveyor
mnxt;Title of a treasury official
mnx-HkAw;Fortress commander
mnxjj;janitor or similar
mnxw;Epithet of Hathor
mnxt;Title
mns;Official with judicial authority
mnstj;Title
mnst;Title
mnsA;Name of Nubian nobleman
mnsA;Title
mnsA;friend
mnsr;love
mnS;loved
mnS;fighting bull
mnS;tree
mnS;make afloat
mnS;groom
mnSt;board
mnSd;dam
mnq;Darling
mnq;beloved
mnq;distinguished syrian
mnq;vessel
mnq;water body near Heliopolis
mnq;bandage
mnqt;people
mnqt;Coniferous wood
mnq-anDw;Noun
mnqb;Desert
mnqb;Love
mnqbH;Darling
mnqrjt;Companions of Re
mnqrjt;Epithet of Sakhmet
mnkbjt;God Mandulis
mnkrt;Bird
mnkrt;pastry
mngrg;name for food
mntt;flame
mntA;Road
mntAj;Beloved
mntjj;Accessories of the wagon
mntD;Lump of incense
mnT;anointing oil
mnTAt;anoint
mnTw;asphalt
mnTw;spoil, perish
mnTw;woodworking
mnd;lance
mnd;anointing oil
mndftj;god in bull form
mndt;Salt worker
mnD;noun
mnDt;woven household utensil
mnDm;sieve
mnDr;bronze vessel
mr;astronomical device
mr;observe with {mrxt} device
mr;needs
mr;Must
mr;copper vessel:
mr;light red
mr;eute
mr;Tool
mr;gift
mr;offer, give
mr;chariot
mr;pyre
mr;Noun
mr;Chin
mr;forgetfulness
mr;insect
mr;to be forgetful
mr;milk jug
mr;milk cow
mr;to forget something
mr;name for something grainy
mr;fruit
mr;family
mr;good quality
mrt;Related
mrt;Liquid
mrt;Milk jug
mrt;Box
mrt;Memory
mrt;Ship part
mrt;milk jug
mrt;milk
mrt;milk cow
mrt;milker
mrt;infant
mrt;Hero
mrw;Comrades of Seth
mrwj;<<in: {fAi mhd} "to raise protest">>
mr=f;fill up, fill
mr=s-gr;seize
mr-jw;lay out
mr-jb;arm
mr-ab;Elle
mr-atA;noun
mr-wArr;child
mr-wart-n-THw;worry about
mr-wr;worry
mr-wr;to bow
mr-wHa;spinning activity
mr-wHat;nest
mr-pr;saber antelope
mr-mnaj;sacred barque of the Soker
mr-mrt;ship
mr-mSa;wrap
mr-mDH;wreath
mr-nbjw;garment
mrt-nsrt;Crown of Lower Egypt
mr-nDmnDm;shepherd's whip
mr-Hst;full Horus eye
mr-xbsw;Feather
mr-xrt;Mane of the baboon
mr-xtm;marshland of Lower Egypt
mr-st;bowl, cup
mr-sxn;Imiut bellows
mr-sSr;part of ship
mr-Snt;north
mr-Sna;north, north
mr-Snaw;north inhabitant
mr-Snw;lower egyptian grain
mr-qbHwj;have confidence
mrj;familiar
mrj;Thot
mrj;northwest
mrj;First
mrj;Celestial Ocean
mrj;Temple
mrj;hurry up
mrjt;hug someone
mrjt;acre measure
mrjtj;back of the head
mrjtt;tumors
mrjn;carer
mrjjnt;flax
mrtjw;be in water
mrw;Flood
mrw;Water of the Nile
mrw;priest title in {rA-Hnwt-nfrt}
mrw;flee
mrw;precious stone from Asswan area
mrwt;burial chamber
mrwtj;Thot
mrwtjj;sacred bull in the region of Athribis
mrwjtt;divine being in the shape of a snake
mrwr;flood
mrwrjt;papyrus
mrr;north wind
mrr;lion goddess of This
mrr;Pisces
mrrt;be forgetful
mrrtj;Filling
mrrj;Linen thread
mrrjt;drowning, drowned
mrH;name for crocodiles
mrH;Lower Egypt
mrH;Fugitive
mrH;Hunter
mrH;Land parcel
mrH;Mane of baboon
mrHt;crown of Lower Egypt
mrHw;lower egypt
mrHw;poultry farm
mrHn(n);god feeding the dead
mrx;son
mrx;ivory object
mrxt;vessel
mrxt;curl
mrxt;big snake accompanying sun god
mrxw;game board at snake game
mrsw;name of a snake
mrsw;epithet of the sun god at night
mrS;forehead snake of the king
mrqHt B;bestower, confidant
mrqDn;verb
mrk;external disease
mrk;sterile, impotent
mrkbt;fish pond
mrkHt;oil
mrgn;not to know
mrt;honor someone
mht;spread
mht;strangle
mhj;bondage
mhj;Tie
mhjt;Wreath of figs
mhj-Hr;magazine for wood
mhwt;burn something
mhwt;balance
mhwt;pierce
mhwt;balance
mhwtj;Memphis
mhwj;animal
mhn;weighing result
mhn;Customs stations on the river
mhn-n-wDAt;Basket
mhnn;Mechir
mhr;Purslane
mhr;Semiprecious stone blue color
mhr;Hierakonpolis
mhr;Semiprecious stone
mhr;face
mhr;Mechir
mhr;pasture
mhd;Granary
mH;Basket
mH;Wood storage
mH;Stake
mH;Part of the chariot
mH;piece of gold jewelry
mH;gold piece, gold nugget
mH;cattle hurdle
mH;sealed box
mH;make inclined
mH;ship
mH;noun
mH;noun
mH;razor
mH;stick or scepter
mH;muddy place
mH;ferry
mH;body of water
mH;ferryman
mH;holy oil
mH;granary
mHt;low-lying land, pasture
mHt;sediment
mHt;needs
mHt;intestines
mHt;bring
mHt;bringer, carrier
mHt;Bouquet of flowers
mHtj;Staff of Osiris
mHtt;its creator
mHtjw;child
mH=s;from brood of Apophis
mH-jb;calf
mH-jb;grain
mH-jb;measure for fruits
mHtj-jmntj;but
mH-wa;show reverence to
mHt-wrt;Prince
mHt-nTr;frond
mH-rdwj;maid, harlot
mH-qnj=f;creatures, children
mH-tA;Stonemason
mHA;Sacrificer
mHA;Sacrifice maker
mHj;Soldier child
mHj;"the one who created and the one who is" = the demiurge
mHj;offspring
mHj;Goose
mHj;epithet of Sachmet
mHj;give birth
mHj;dress
mHj;grain
mHj;foal {}
mHj;Feast
mHj;Waterfowl
mHj;Characteristics
mHjt;the one who gives birth = the mother
mHjt;part of the body on the abdomen
mHjt;food from wheat
mHjt;product
mHjt;offspring
mHj-jb;birth
mHw;shape
mHw;Supper
mHw;1 leap day
mHw;Relatives of someone
mHw;Designation of the sun bark
mHw;5 intercalary day
mHw;princes and princesses
mHw;5 leap days
mHwt;Festival on New Year's Day
mHw=s;Constellation
mHwj;2 intercalary days
mHwn;Premature birth
mHwn;4 intercalary day
mHwtj;3 intercalary day
mHbS;Drinking place
mHbq;Waters in Ombos
mHn;Image
mHn;noun
mHn;praise
mHn-tA;to turn to someone
mHnj;hem
mHnjt;to mess up the hair
mHnk;3 day of the lunar month
mHnd;noun
mHs;sanctuary
mHs;sanctuary
mHsHs;16 day
mHDrt;6 night hour
mHDt;Worker
mx;Land name
mx;officially used plant
mx;spinning
mx;epithet of Hathor, spinner
mxA;swimmer on harpoon line
mxA;cult place of Horus of Edfu
mxA;harpoon
mxA;fabric, cloth
mxA;spinners
mxA;harpoon hunter
mxA;name of a priest in Edfu
mxAt;Type of statue making
mxAt-tAwj;Knife
mxAw;harpooner, harpoon hunter
mxAwt;turn over
mxAwt;miller
mxjr;processor of precious stones
mxjr;shaft
mxmxwt;pit for foundation
mxn;groove epithet
mxn;ribs
mxnmt;crocodile
mxnt;female crocodile
mxr;go
mxr;ship part
mxr;vessel for oil and wine, used like Mass
mxr;waters
mxrm;to rejoice
mxsf;to bow
mxt;divine being
mxtbt;divine being
mxtbtb;usher
mxtmt;shine
mxtmt;whereabouts
mXA;whereabouts
mXA;goddess of birth
mXA;Measure or vessel for oil
mXAw;Arm
mXAw?;Hook at mouth opening
mXaqt;Constellation of the Great Bear
mXn;channel
mXn;shiver with fear
mXnt;carpenter
mXnt;ribbon, belt
mXntj;shirt
mXnm;armored shirt
mXr;metal tool
mXr;animal skin, leather
mXrw;Weapon
mXrw;Type of metal weapon processing
mXtw;Part of the Theban necropolis
ms;Fur
ms;Place of origin of stones in Khargeh
ms;Rumor
mst;Sun ship in the evening and at night
ms;Arm ring
ms;Cabinet of the king
ms;Noun
ms;Bag
ms;basket
ms;Liquid
ms;Liquid
ms;Liquid
ms;Basket
mst;Vessel
mst;Descendant
msw;Hathor
ms-aAt;Office
ms-wdn;Office
ms-wdnw;Fabric
ms-mnftjw;Noun
ms-ntt;Scorpio
mst-sA;Scorpio
msA;Descendant
msAt;box
msAqt-jb;clothe
msj;Clothes
msj;Basket
msj;body part on the hind leg
msjt;Nostrils
msjt;metal vessel
msjt;black eye makeup
msjAt;galena seeker
ms(j)wt;hate
msjnt;detested, hated
mswt;ear
msw;name for the rival
mswt;gut
mswt;noun
mswt;duck species
mswt;leather chariot part
mswt-ws-jr;scoop
msw-n-pr=f;army
msw-nb;warship
mswt-nbt-Ht;expedition
msw-nswt;march
mswt-nTrw;cut off
mswt-ra;bird
msw-Hr;orders
mswt-Hr;army
mswt-xprww;travelers
mswt-st;Food
mswt-stX;Dagger
mswr;Libyans
mswr;strive
mswt;disease
msb;be in the evening
msbb;furniture:
msbb;Afternoon
msbb;Evening
msbb;Noun
mspr;Landart
mspr;Dinner
mspr;preparation of car parts
msprt;Ship part
mspr-snnw;disease
msprjt;supervisor
msprtjw;cut off, cut
msmw;disease:
msms;Jewel
msmSmt;Woodworking
msn;Noun
msn;to be buried
msn;send away
msn;ford
msn;comb
msnt;ladder
msntj;baker's oven
msntj;sleep, rest
msntj;amulet
msnj;washboard
msnj;rod
msnw;oven
msnH;vessel
msnxn;officially used
msnSd;sacred snake
msnt;Situla
msntj;eliminate
msnTt;part of the head
msrt;crush
msH;crushing
msHt;Farmland
msH;ship
msHt;drive
msx;be covered
msxt;Fabric
msxA;sustenance ,food
msxA;feast, celebration
msxAt;be festive
msxAt;vessel
msxAAt;protection, magic protection
msxa;place, square
msxn;place of execution
msxnt;base
msxnt;cover
msxt;protector
msxt;3 night hour
msxtjw;amulet
msxtjw;bold
msXA;recess
mss;supporting base
mss;god
mss;name of Osiris
msst;protect
mss-n-aHA;soldiers
mssbt;noun
msq;Ship
msq;merchant
msq;Name of Hathor
msqt;Color
mskA;Part of ship
mskAt;back of the head
mskj;neglect
msktt;scepter
msktw;protect
msgr;Fortification tower
mst;furnace embers
mstw;officially used plant
mstA;young warrior
mstA;name of Seth, the crocodile
mstAnj;sad
mstj;device
mstj;noun
mstj;liar
mstjw;jar
mstjwt;cave
mstjjr;box, basket
mstr;to die, to be dead
mstrt;death, dying
mstH;dead
mstt;vessel
msttf;suppository
msTwt;Mother
msTpt;suitability
msd;square piece of linen
msdt;cause of death
msdt;dead
msdt;stab
msdt;noun
msdj;spike
msdmt;headman
msdmjj;correct
msDj;right quantum
msDjt;rope
msDr;Evil
msDDt;degree of character
mS;Flood
mS;Same
mSt;Poison
mSAj;Title
mSAb;Battlefield
mSa;Dagger sheath
mSa;dagger
mSa;talk back and forth
mSa;hate and gossip
mSa;bestow
mSa;tax list
mSa;to cut off, to dismember
mSat;knife, hatchet
mSaw;products
mSat;label
mSw;reward
mSwS;die
mSp;to be present
mSpnt;presence, proximity
mSr;testimony
mSr;correct, exact
mSrw;correctness
mSrw;flood
mSrw;Testimony
mSrw;noon
mSrwt;made of leather
mSrr;sincere heart
mSS;sincere
mSSwt;instruct plot
mSkb;witness
mSt;written testimony
mSt(j);soldiers
mST;wooden weapon
mSd;household utensil
mSd;girl
mSd;Whip cord
mSd;Bowl for water, wine
mSdt;phallus
mSdd;challenge
mqt;Title
mqar;Outrageous
mqmq;from inherited land
mqn;Vezierin
mqnt;Garment for girls
mqr;Battlefield of the bulls
mqr;Apron
mqr;noun
mqrt;instruct
mqrt;way
mqrt;guide
mqH;doorkeeper in heaven
mqHt;maintenance
mqs;take, pack
mqst;designation of a way
mqq;mixed drink
mk;word, speech
mk;tribute
mk;service
mk;hidden things
mk;Egyptian language
mk;Strap
mk;at
mk;Designation of the sun god
mkt;name of Seth
mkt;control
mkt;staff
mkt;speak
mkt;Word
mktj;orator, defender
mkt-nb=s;Noun
mkt-Ha;Multilanguage speaker
mkA;God's words
mkA;tribute
mkA;Caller
mkAt;to be calm, rest
mkAtj;Knife
mkAtj;sharpener, grinder
mkj;sharpening stone for the razor
mkjw;Powerlessness
mkmrt;boundary stone
mkr;to be violent
mkr;Violent
mkrt;to be excellent
mkrr;Knife
mkrt;Excellent
mkHA;measure for wine
mkHA;ten
mks;rod
mkk;deep, be deep
mktr;clamp or shackle
mg;stable
mgA;ointment
mgA;ointment maker
mgA;land near Nubia
mgAt;as amulet
mgAt;measure for dates
mgwn;be imprisoned
mgrg;fertilize <<lies: {mTA}>>
mgrg;Suction tube
mgrt;document, scroll
mgs;graver
mgsp;accessories of the net
mgg;wooden stake, wooden peg
mt;Adversary
mt;Name of the nilfest
mt;policeman, hunter
mt;Offering
mt;vessel for beer
mt;Device
mtt;cloth
mt-jfd;scoop
mt-n-bAqt;ladle
mtt-Hmt;part of the ship
mtA;Depth
mtA;device at mouth opening
mtAjt;noun
mtj;to wrap around
mtj;to turn towards
mtj;noun
mtj;belt
mtj;head bandage
mtjt;to wrap head around
mtjt;wood behaün, zimmern
mtwt;carpentry
mtwt;hairy wood
mtwhr;anointing oil
mtbr;carpenter
mtpnt;vessel
mtft;vessel
mtmt;meet
mtmt;Fron
mtn;Share
mtn;Book
mtn;body part of a snake
mtnjt;need
mtnw;be devoted to someone
mtnw;be devoted to someone
mtnwt;deity
mtr;mortar
mtr;for the benefit or harm of someone
mtr;because of
mtr;if
mtr;as
mtr;as
mtr;proper to
mtrt;piece
mtrt;red crown of Lower Egypt
mtrt;goddess Neith
mtr-jb;water
mtr-ns;village, town
mtr-Hnb;around to
mtrw;necropolis of Abusir el Melek
mtrw;with it
mtrw;custom
mtrH;designation of the heavenly waters
mtrxt;he has not
mtHnt;because
mtDj;without getting tired
mTt;unceasingly
mTA;not lacking, not ceasing
mTA;outside
mTA;unseen
mTA;invisible
mTA;true
mTAt;new
mTAt;with it
mTAm;nephrite, stone to scarabs
mTwn;because of
mTpnt;unceasingly
mTprt;it has no lack
mTn;it lacks nothing
mTn;because
mTn;yearly
mTn;do not allow
mTn;at that time
mTn;daily
mTn-pSn;his own
mTk;in front of
mdt;to the top
mdt-pHtj;to the top
mdt-n-xAm;Accounting
mdt-HApt;Wagoner
mdt-kmt;without intermission
mdAm;without reduction
mdj;according to
mdj;before
mdj;without rest
mdjn;after
mdw;behind, at someone, until
mdw;in the future
mdw;down
mdw;never
mdwt;without exception, omission
mdwtj;without omission
mdw-nTr;without being idle
mdw-qnw;chosen
mdww;without effort
mdn;eternal
mdn;eternally
mdn;this
mdn-xs(f);the
mdnw?;this
mdnb;craftsmen
mds;place name
mds;this
mds;house
mds;wood; for building ships
mdsw;our
mdd;you
mD;yours
mD;wood for ships
mD;breath of air
mDt;barbarian troops
mDt;plant
mDt;curl
mDtj;being in the afterlife
mDA;Curl
mDA;cursed, corruptible
mDA;lace
mDA;divine cupbearer
mDA;fill with water
mDAt;step
mDAt;bowl, jug
mDAt;belonging to
mDAt;reject
mDAt;sound of a newborn
mDAw;Evil
mDAt-Hapj;Wailing woman
mDAj;To be a child, to rejuvenate
mDAj;Oval
mDAj;Whereabouts
mDAj;favorite
mDAjjt;popular
mDAb;Darling
mDAbt;foundation official
mDAbt;refuse someone
mDwt;disease in nose
mDft;ibex herd
mDr;plant
mDr;Capricorn
mDr;prep {n} adv needed
mDrn;prostrate
mDH;Urocean
mDH;breath of air
mDH;ostrich
mDH;pot
mDHt;one of the 8 primordial deities
mDHt;House
mDHtj;one of the 8 female deities
mDHw;spear
mDq;job title
mDqtj;to come to a halt
mDd;waters
mDd;officially used plant
mDdt;to be cheerful
mDdt;fragrant tree
mDdw;wood
mDd-a;grief
mDd-wAt;rejoice
mDd-mTn;strands
mDdw;greeting
mDdHt;Damage
n;flame
n;call
n;Call
n;Part of the turtle
n;Caller
n;testicle
n;calculate
n;punish
n;to punish, evil
n;Punisher
n;knife
nt;procrastinate, hesitate
nt;term for something impure, evil
nt;body part
nt;kind
nt;death proclaim
nt;kindness, mildness
n-Abw;snake
n-Ar=f;journey
n-jb;disease
nt-a;mate
n-wn;sail in ship
n-wn;twisting ropes
n-wnt;rope
n-wHs;house
n-ws;peg on the bow to moor
n-wSr;be colorful
n-bnr;multicolored fabric
n-ptr;best of something
n-mAA;defamation
n-mAat;snake
n-mAwt;designation of god
n-mrwt;Designation of the sun god
n-mH=f;God of the 23 lunar month
n-mt;?
n-nwr;Catfish
n-nhj-n=f;Tree
n-nhw=f;Noun
n-ntt;Bird
n-rnpt;Catfish
n-rdj;something on a lump
n-hAw=f;troop in the Egyptian army
n-hrw;bunch of vegetables
n-Ha=f;strong, loud
n-Hr;epithet of the lion-shaped gargoyle
n-Hrt;jump
n-Hrw;crush
nt-Hsb;something on the door leaf
nt-Htr;flour
n-HDAj;pot
n-xb=s;this
n-xft;desert
n-xft-Hr;gesture of greeting
n-xn;weak
n-xt;injustice
n-xt;bird
n-xt-nHH;fragrant from punt
n-Xrw;see
n-sp;view
n-sn;goddess
n-sn-xwd;hunter
n-srftj;Time
n-stp;spend time
n-tp-Sw;envelop
n-Dt;return
n-Dt-Dt;village, town
nA;Thebes
nA;city
nA;lower heaven
nA;groove
nAw;sky
nA-(n);Character
nA-Hmt;adze
nA-DADA;yarn
nAj;Fabric
nAjt;Diaper
nAjj;Bunch for flax
nAj=n;Dung ball of scarab
nAj=s;Wood
nAj=k;Time
nAjjw;Noun
nAw;light rays
nAw;urban
nAwt;fragrance
nAbt;goddess in amduat
nAbtj;me
nAp;townsman
nAS;primordial water
nAS;female counterpart to the primordial water
nAtjj;see
nj;whole creation
njt;guard
njt;God
nj;device at mouth opening
nj;officially used plant
nj;noun
njt;officially used plant
njt;provide
njj;water
njjt;noun
njjt;water
nj-jb;relics
nj-mrwt;rivers containing gold
nj-st-jb;oil
nj-Dt;hour gods
njA;disheveled hair falling over face
njA;Disheveled
njAwt;evil
njAjA;quake
njAw;of care of creator for the world
njj;Bird
njj;Sea creature
njw;earthquake
njw;ferryman in the sky
njw;rope, cord
njw;shackle
njw;sinuous
njwt;fornication
njwt;drink
njwj;drunkenness
njwj;burn, be burned
njwj;lump, ingot
njwj;crown
njwjw;thread for weaving
njwjw;tremble
njwbn;move, arrive at
njb;mobility
njfjf;ointment, fragrant
njm;ointment squeezing, cooking
njn;ointment cook
njnj;fluctuation, irregularity
njnj;Diaper
njjnjj;Barque of the ointment god {Szmw}
njs;Ointment
njs;inaccuracy
njs;divine being
njs;Noun
njsw;Antelope
njswj;Lord
njs-Hsbw;any
njk;collar
njk;Gold
njk;designation of Hathor
njkwt;Designation of the sun
njtjt;Designation of the grain
njd;harm, sin
njDw;Basket
na;mistress
na;any
na;soft parts of the body
nat;Sky cow
nat;Ombos
naADt;vault
naj;name for Nechbet and Buto
naj;Uräen
naj;Designation of Seth
naj;Lamentation of Osiris
najt;beer mug
najt;the one of the Two Mistresses = the King
naa;Lord
naa;lords
naa;all
naaw;officially used plant
naw;wooden device
naw;name for Horus and Seth
nawtj;name of the greek islands
nawtj;epithet of the sun god
naw-wr;Popular
nawt;Venerable
naf;Epithet of Hathor, Sachmet-Bastet
nar;God
nart;Piece
nart;Goddess
narw;Living
nar-msdt;Name of the coffin
narat;5 Night hour
narn;Bandage during embalming
nax;Rich
naS;Name of the field
naS;Beneficiary
naS;8 hour in amduat
nag;Epithet of Hathor
nag;Name of the wife
nagw;Cell work
nw;True
nw;Epithet of Hathor
nw;Epithet of Hathor
nw;Epithet of Horus
nw;Epithet of Thoth
nw;Gold of special variety
nw;Name of the red crown
nw;Epithet of Chnum
nw;Epithet of Hathor
nw;Title of Sobek
nw;Title of Horus
nw;All-lord
nw;Allherrin
nw;married woman
nw;byname of Thot
nw;Goddess Nephthys
nw;Name of Hathor
nw;Goddess of the 1 night hour
nwt;White gold
nwt;Epithet of Hathor
nwt;gate in the other world
nwt;lesser god
nwt;lord of wisdom
nwt;sacred serpent in Sebennytos
nwt;byname of Thot
nwt;name of the god of the dead
nwt;name of the realm of the dead
nwt;byname of Onuris
nwt;Epithet of Hathor
nwt;Epithet of Chon
nwt;Name of the Min
nwt;6 night hour
nwt;Supporting rod
nwt;horn-shaped object
nwt;spindle
nwt;pole at foundation ceremony
nwtj;curl
nwtj;the floating one = Osiris
nwtt;Mass
nwj;kindle fire
nwtjw;swim
nww-wr;goldsmith
nwwt;gild
nw-n-DAr;sculptor, creator
nw-r-Aw;beer mug
nwA;burn
nwA;flame
nwA;spit
nwA;saliva
nwAt;official used
nwAwA;Tube
nwAn;Flame
nwj;City
nwj;Drowned
nwjt;Priest title
nwjt;11 Hour of the day
nw(j);Protector
nwjw;Name of a goddess
nwa;Sin
nwtjjw;Noun
nwn;those who live in the {nbwt}
nwn;preserve
nwnt;come
nwr;plant
nwr;?
nwr;Tree
nwr;pastry
nwr-tA;to ignite, to catch fire
nwrw;epithet of courage
nwH;braid
nwH;hairstyle
nwH;weave
nwH;device
nwH;be tarnished
nwH;part of a pot
nwx;hair braid
nws;weaver, hairdresser
nws;evil, harmful
nwt nD;designation of Seth
nwT;destroy
nwd;intestine
nwd;intestine
nwd;wet
nwd;small cake
nwd;fly
nwdt;kernel of a fruit
nwdt;name of the sun god
nwdt;curl
nwdt;grain
nwdw;Grain god
nwdj;Grain goddess
nwD;Water
nwDw;snake
nwDw;grain grain
nb;Weaving edge
nb;grain
nb;Grain
nb;Grain god
nb;Edge
nb;Stage
nb;Name of the grain
nb;Part of the human abdomen
nbt;Deity
nbt;Ointment ingredient
nbt;slaughter
nbt;drinking place of the river
nbt;knife
nbt;refreshment
nbt;breath of the mouth, breath
nbtj;that
nbtj;evil, wrong
nbtj;part of the ship
nbtj;Fan
nbtj;Cattle disease
nbtjjjj;disease demons
nbw;everything
nbw;that
nbw;snort out
nbw;jump
nbw;foment, kindle
nbwj;breathe
nbwt;darkness
nb-Aaaw;drive away clouds
nb-jmAt;a plant
nb-jmAx;skipper
nbt-jnsj;flood water
nb-jrwt;Creeping
nb-jH;heart with trachea
nbt-jdw;be good, beautiful
nb-anx;make beautiful
nb-anx;or?
nbt-anx;Good, Beautiful
nbt-arqjt;good
nb-aHa;good things
nbt-ww;dress
nb-wnm;grain
nbt-wSAw;name for wine
nbt-pt;phallus of a god
nbt-pr;part of the house
nb-m-saHa;Horses
nb-mAat;fire, embers
nbt-mAat;Sun glow
nbt-mfkAt;Flower of Nefertem
nb-mrtj;Feathers of the composite crown
nb-mdw-nTr;Crown of Upper Egypt
nb-naa;subdivision of a phyle
nbt-nbj;Pitcher
nb-nHp;Beautiful
nbt-nHm;manly girl
nb-nSn;good thing
nb-nDmnDm;tomb
nb-r-Dr;underworld
nbt-r-Dr;cows
nbt-hAj;crown of upper egypt
nb-hdn;dew
nbt-Ht;finest cloth
nbt-Haawt;form, matrix
nbt-Hrjw;plant
nb-HD;benefits
nbt-xbj;not
nbt-xbxb;not
nb-Xn;better
nb-sAt;Diadem
nb-ss;God in Edfu and Dendera
nb-sSw;Crown of Upper Egypt
nb-sgr;Breast of wet nurse
nbt-sgr;Cattle
nb-Sajt;God Nefertem
nbt-SbSb;Monkey
nb-Ssm;End
nb-TAmt;Rope on helm
nbt-Dsr-sStA;Goddess
nbA;younglings
nbA;Treasures
nbA;Base of a building
nbA;shortfall
nbAt;warp, twist
nb(A);way of fleeing
nbAbA;bird
nbj;and
nbj;who?
nbj;knife
nbj;to grab
nbj;Vessel for grain and drinks
nbj;winepress for wine
nbj;Yield of the field
nbj;Slaughterhouse
nbj;noun
nbj;dwarf
nbj;opening
nbj;executioner
nbj;hostile beings
