=i҆|I
mꜥnḫt|Rod
mꜥnḫti҆|God
mꜥnḏt|Sun ship in the morning
mꜥr|happy
mꜥr|Dress of the gods
mꜥr|book
mꜥr-sp|happy event
mꜥḥꜣ|stretch out
mꜥḥꜥt|Place of worship, grave
mꜥḥw|Rudder
mꜥš|noun
mꜥḳ|Spit
mꜥḳ|roast meat
mꜥḳ|Roast piece
mꜥkꜣ|bold
mꜥḏ|Torture tool
mw|water
mw|Clothing fabric
mwt|Name of a goddess
mwt|Vulture, vulture goddess
mwt|mother
mwt|Part of plants
mwt|Weight of the scales
mwt|place of birth
mwt|Tub
mwt wrt|Grandmother
mww|Dancers at the funeral
mw-i҆rpw|holy water
mw-bi҆n|Name of the cataract
mw-nw-pt|rain
mw-nw-msti҆|liquid
mw-nw-ḥsmn|Caustic soda
mw-nw-ḳmi҆t|Gum water
mwt-nṯr|Mother of God
mwt-rmṯ|uterus
mw-ḳdw|Name of the Euphrates
mwi҆|urine
mwi҆|Seed
mwi҆|be damp
mwi҆t|humidity
mwi҆t|Abyss
mwi҆t-rꜣ|saliva
mwi҆i҆w|Water jugs
mwmw|raw, uncooked
mwnf|assistance
mwt|die, be dead
mwt|Dying, death
mwt|Dead
mwtt|as a haunted being
mbi҆|According to a newborn
mfḫ|Sledge
mfḫ|Sieve grain
mfk|malachite
mfk|to be happy, to enjoy
mfkt|Hathor
mfk-ḫꜥw|shiny malachite
mfkꜣt|malachite
mfkꜣt|Green of the plants
mfkꜣt|joy
mfkꜣt|Name of Hathor
mfkꜣt|Wadi Maghara
mfkꜣt|Name of the papyrus
mfkꜣti҆w|Gods
mfd|run through
mm|animal
mm|Part of the fishing net
mmt|flute
mmꜣꜥ|Myrrh
mmi҆|fruit
mmi҆|giraffe
mmt|edible plant
mn|not be present
mn|Absence
mn|to receive
mn|stay, be firm
mn|remains, the balance is
mn|so and so, NN
mn|thirsting victim
mn|jug
mn|Fabric for dress
mn|Measure for clothing fabrics
mn|be sick
mn|Sufferer
mn|Product from Syria
mn|mountain
mn|<< Change with {mA} >>
mn|who?
mn|offset
mn|be separated
mnt|Board game
mnt|die and die, NN
mnt|way
mnt|illness
mnt|swallow
mnt|lion-shaped goddess
mnt|leg
mnt|root
mnt|Wax burner
mnt|Waters
mnt|sky
mnt|content
mnt|Ribbon
mnt|Barge
mnti҆|Bowl, jug
mnti҆|Lap on which the child is sitting
mnti҆|Mountain ranges in the east and west of the Nile
mnti҆|Shares
mnti҆|chest
mnti҆i҆|the wretched
mnw|Coal fire
mn-i҆b|steadfast
mnt-i҆ri҆|likewise
mn-ꜥnḫ|coffin
mn-bi҆t|throne
mn-bi҆t|Priestly title
mn-mdi҆=f|he did not
mn-nfr|Memphis
mn-ḥr-i҆b|be angry
mnti҆-ḥr-ꜥ|jug
mn-ẖr-nww|Stand for water dispensing
mn-ṯbt|steadfast
mni҆|land
mni҆|give presents
mni҆|graze
mni҆|Assistance, helper
mni҆|officially used
mni҆|Thigh
mni҆|Workers
mni҆t|Landing stake
mni҆t|Name of Isis
mni҆t|Geese grazing area
mni҆t|a necklace
mni҆t|Hathor
mni҆t|Singer in Dendera
mni҆t|noun
mni҆t|Material to figures
mni҆t|root
mni҆t|Dove
mni҆t|edible body part of beef
mni҆ti҆|Farmer
mni҆i҆|jewel
mni҆t-ẖkri҆t|Necklace with menite
mni҆-sp=f|get to the goal
mni҆ꜣ|Body part of woman
mni҆ti҆w|punishing gods
mni҆w|Shepherd
mni҆w|Shepherd tent
mni҆wt|port
mni҆wi҆|Nickname of Anubis
mnꜥ|suckle
mnꜥt|nurse
mnꜥt|Dairy cows
mnꜥi҆|educator
mnꜥt|Possession
mnw|Suffer
mnw|stay
mnw|monument
mnw|Statue
mnw|obelisk
mnw|Trees
mnw|Name of a fragrant plant
mnw|Waters with aquatic plants
mnw|Club
mnw|precious stone
mnw|fortress
mnw|thread
mnw|ship
mnw|God Min
mnw|noun
mnwt|Dove
mnwi҆|monumental
mnwi҆i҆t|Hathor cow
mnwr|incense
mnwr|clean
mnwr|Country in the east
mnwḥ|plant
mnwḥwt|sky
mnpḥ|dress
mnpḥt|Chest, udder
mnft|drug
mnfti҆|Jewelry ribbon
mnfꜣt|soldiers
mnfi҆|bracelet
mnfrt|Ankle band, bracelet
mnmt|bed
mnmn|move
mnmn|copulate
mnmnt|herd
mnmnt|Place name
mnmn-m-wbn|stepping out
mnn|be tortuous
mnn|mine
mnnw|fortress
mnnw|annals
mnnn|asphalt
mnnt|Part of a grave
mnrd|noun
mnht|jug
mnhi҆i҆w|Stone, stone
mnhp|Mate
mnhp|aphrodisiac
mnhp|tomorrow
mnhp|Phallus and back united; Genitals
mnhs|Guardian
mnhḏ|Writing implement
mnḥ|wax
mnḥ|Papyrus plant
mnḥ|Boy, boy
mnḥ|rejoice
mnḥ|Butcher
mnḥ|bad fate, bad fate
mnḥ|Young
mnḥ|Slaughter block
mnḥt|Goddess of the papyrus recipe
mnḥi҆t|Name of the uraeus snake
mnḥw|foam
mnḥwi҆|Butcher
mnḥt|Homage gift
mnḫ|Chisel
mnḫ|chisel
mnḫ|right, excellent
mnḫ|Term for large piles
mnḫ|Label for food
mnḫ|rejoice
mnḫ|hang around
mnḫ|Cord of the amulet
mnḫt|Excellence
mnḫt|technology
mnḫt|Nickname of Hathor
mnḫt|Dress, robe
mnḫt|noun
mnḫt|Name of the month Paophi
mnḫt|Rod
mnḫt|tassel
mnḫ-ḥkꜣw|with effective magic
mnḫi҆i҆|Epithet of the mirror
mnḫw|Excellence
mnḫt|Deity
mns|plant
mnsti҆|legs
mnst|location at Heliopolis
mnsꜣ|Phallic erection
mnsꜣ|jug
mnsꜣ|Erection of the phallus
mnsr|sacred serpent in the Gau of Aphroditopolis
mnš|King ring
mnš|wooden bowl in cartridge shape
mnš|stamp with king ring
mnš|ship
mnš|Clothing fabric
mnšt|mineral substance
mnšd|insulting designation of Apophis
mnḳ|bring it to an end, complete it
mnḳ|reward someone
mnḳ|Palace room
mnḳ|wooden home appliance
mnḳ|tree
mnḳ|Label for milk
mnḳt|goddess
mnḳt|Vessel
mnḳ-ꜥnḏw|game
mnḳb|umbrella
mnḳb|cool room
mnḳbḥ|palace
mnḳri҆t|bottle
mnḳri҆t|Necklace
mnkbi҆t|Necklace
mnkrt|Tail on the kings apron
mnkrt|lion-headed goddess
mngrg|Pitcher for oil
mntt|stone
mntꜣ|holy grove of Abaton
mntꜣi҆|Name of Osiris
mnti҆i҆|Porter, doorkeeper
mntḏ|Made of leather
mnṯ|Seven grain
mnṯꜣt|Bowl for water
mnṯw|star
mnṯw|God Month
mnṯw|tribes living in NE Egypt
mnd|Grain size
mnd|Name of the necropolis
mndfti҆|Originator of the flood
mndt|Valuables
mnḏ|chest
mnḏt|Part of the furnace
mnḏm|basket
mnḏr|Part of the gut
mr|supervisor
mr|pyramid
mr|to be sick, to suffer
mr|Sick
mr|illness
mr|channel
mr|weaving
mr|Moat, canal
mr|Pasture
mr|Relatives
mr|hoe
mr|tie
mr|pot
mr|to join someone
mr|building
mr|Proximity
mr|Mnevis
mr|Fighting bull
mr|truth
mr|to die
mr|earlier
mr|Timber
mr|dig
mrt|illness
mrt|Bundle of clothes
mrt|animal
mrt|black cow
mrt|Subordinates
mrt|singer
mrt|throat
mrt|eye
mrt|board
mrt|Containers for clothes
mrt|ship
mrt|path
mrw|Stuff strips
mrwi҆|ambivalent
mr=f|Deity
mr=s-gr|Goddess of the Theban necropolis
mr-i҆w|holy boat of Aphroditopolis
mr-i҆b|Have pity
mr-ꜥb|title
mr-ꜥtꜣ|military title
mr-wꜣrr|title
mr-wꜥrt-n-ṯḥw|title
mr-wr|Möris lake
mr-wr|Mnevis bull
mr-wḥꜥ|Marsh plant
mr-wḥꜥt|Head of Bird Trapping
mr-pr|Property manager
mr-mnꜥi҆|Lake in the sky
mr-mrt|Head of the pasture
mr-mšꜥ|general
mr-mḏḥ|Head carpenter
mr-nbi҆w|Head of the goldsmith's shop
mrt-nsrt|Goddess of the 8 night hour
mr-nḏmnḏm|Title of Horus
mr-ḥst|Singing master
mr-ḫbsw|Land surveyor
mr-ḫrt|Treasury Official's Title
mr-ḫtm|Fortress commander
mr-st|Caretaker or similar
mr-sḫn|Nickname of Hathor
mr-sšr|title
mr-šnt|Official with judicial powers
mr-šnꜥ|title
mr-šnꜥw|title
mr-šnw|Designation of Nubian gentlemen
mr-ḳbḥwi҆|title
mri҆|friend
mri҆|love
mri҆|loved
mri҆|Fighting bull
mri҆|tree
mri҆|get afloat
mri҆|Groom
mri҆t|board
mri҆t|dam
mri҆ti҆|Darling
mri҆tt|Lover
mri҆n|distinguished Syrian
mri҆i҆nt|Vessel
mrti҆w|Waters at Heliopolis
mrw|Bandage
mrw|People
mrw|Coniferous wood
mrw|noun
mrw|desert
mrwt|love
mrwti҆|Darling
mrwti҆i҆|Companions of the Re
mrwi҆tt|Nickname of the Sekhmet
mrwr|God Mandulis
mrwri҆t|bird
mrr|Pastries
mrr|Label for food
mrr|flame
mrrt|Road
mrrti҆|Lover
mrri҆|Accessories of the car
mrri҆t|Lump of incense
mrḥ|Anointing oil
mrḥ|anoint
mrḥ|asphalt
mrḥ|perish, perish
mrḥ|Woodworking
mrḥ|lance
mrḥt|Anointing oil
mrḥw|God in the form of a bull
mrḥw|Salt workers
mrḥn(n)|noun
mrḫ|braided household appliance
mrḫ|Sieve
mrḫt|Bronze vessel
mrḫt|astronomical device
mrḫt|watch with {mrxt} device
mrḫw|needs
mrsw|Must
mrsw|Copper vessel:
mrš|light red
mrḳḥt B|today
mrḳḏn|Tool
mrk|gift
mrk|offer, give
mrkbt|Chariot
mrkḥt|pyre
mrgn|noun
mrt|chin
mht|forgetfulness
mht|insect
mhi҆|be forgetful
mhi҆|Milk jug
mhi҆t|Dairy cow
mhi҆-ḥr|to forget something
mhwt|Term for something grainy
mhwt|fruit
mhwt|family
mhwt|good property
mhwti҆|Relative
mhwi҆|Liquid
mhn|Milk jug
mhn|box
mhn-n-wḏꜣt|Storage
mhnn|Ship part
mhr|Milk jug
mhr|milking
mhr|Dairy cow
mhr|milker
mhr|infant
mhr|hero
mhr|Enjoyed the Seth
mhd|<< in: {fAi mhd} "raise a protest" >>
mḥ|fill, fill
mḥ|grasp
mḥ|interpret
mḥ|poor
mḥ|Cubit
mḥ|noun
mḥ|child
mḥ|worry about
mḥ|Concern
mḥ|to bow
mḥ|Activity while spinning
mḥ|nest
mḥ|Saber antelope
mḥ|sacred barge of the Soker
mḥ|ship
mḥ|wrap around
mḥ|wreath
mḥ|clothing
mḥ|Crown of Lower Egypt
mḥ|Shepherd's whip
mḥt|full eye of Horus
mḥt|feather
mḥt|Mane of the baboon
mḥt|Wetlands of Lower Egypt
mḥt|Bowl, bowl
mḥt|Imiutbalg
mḥt|Ship part
mḥti҆|north
mḥtt|north, north
mḥti҆w|Northerners
mḥ=s|Lower Egyptian grain
mḥ-i҆b|Have trust
mḥ-i҆b|Confidante
mḥ-i҆b|Thoth
mḥti҆-i҆mnti҆|northwest
mḥ-wꜥ|First
mḥt-wrt|Sky ocean
mḥt-nṯr|temple
mḥ-rdwi҆|hurry up
mḥ-ḳni҆=f|to hug someone
mḥ-tꜣ|Acreage
mḥꜣ|Back of the head
mḥꜣ|Lumps
mḥi҆|Caregivers
mḥi҆|flax
mḥi҆|be in the water
mḥi҆|flood
mḥi҆|Waters of the Nile
mḥi҆|Priest title in {rA-Hnwt-nfrt}
mḥi҆|flee
mḥi҆|precious stone from the Asswan area
mḥi҆|Burial chamber
mḥi҆|Thoth
mḥi҆|holy bull in the Gau of Athribis
mḥi҆|divine being in the form of a snake
mḥi҆t|flood
mḥi҆t|papyrus
mḥi҆t|North wind
mḥi҆t|Lion goddess of This
mḥi҆t|fishes
mḥi҆-i҆b|be forgetful
mḥw|filling
mḥw|Linen thread
mḥw|Drowning man, drowned man
mḥw|Name for crocodiles
mḥw|Lower Egypt
mḥw|refugee
mḥw|Hunter
mḥw|Parcel of land
mḥwt|Mane of the baboon
mḥw=s|Crown of Lower Egypt
mḥwi҆|lower egyptian
mḥwn|Poultry farm
mḥwn|God feeding the dead
mḥwti҆|son
mḥbš|Item made of ivory
mḥbḳ|Vessel
mḥn|curl up
mḥn|large snake accompanying the sun god
mḥn|Game board at the snake game
mḥn-tꜣ|Name of a snake
mḥni҆|Nickname of the sun god in the night
mḥni҆t|King's forehead serpent
mḥnk|Gift recipient, confidante
mḥnd|verb
mḥs|external illness
mḥs|sterile, impotent
mḥḏrt|Fish pond
mḥḏt|oil
mḫ|do not know
mḫ|to honor someone
mḫ|to spread
mḫ|strangle
mḫꜣ|tie up
mḫꜣ|Fetter
mḫꜣ|Wreath of figs
mḫꜣ|Magazine for wood
mḫꜣ|burn something
mḫꜣ|bring into balance
mḫꜣ|pierce
mḫꜣt|Libra
mḫꜣt-tꜣwi҆|Memphis
mḫꜣw|animal
mḫꜣwt|Weighing result
mḫꜣwt|Customs stations on the river
mḫi҆r|basket
mḫi҆r|Mechir
mḫmḫwt|Purslane
mḫn|Semi-precious stone of bluish color
mḫn|Hierakonpolis
mḫnmt|Semi-precious stone
mḫnt|face
mḫr|Mechir
mḫr|Pastureland
mḫr|Granary
mḫr|basket
mḫrm|Wooden shelf
mḫsf|Peg
mḫt|Part of the chariot
mḫtbt|Piece of jewelry made of gold
mḫtbtb|Gold piece, gold nugget
mḫtmt|Cattle corral
mḫtmt|sealed box
mẖꜣ|make inclined
mẖꜣ|ship
mẖꜣw|noun
mẖꜣw?|noun
mẖꜥḳt|razor
mẖn|Stick or scepter
mẖn|muddy place
mẖnt|ferry
mẖnt|Waters
mẖnti҆|Ferryman
mẖnm|holy oil
mẖr|Granary
mẖr|low-lying land, grazing ground
mẖrw|Sediment
mẖrw|needs
mẖtw|intestines
ms|bring in
ms|Bringer, carrier
ms|bunch of flowers
mst|Staff of Osiris
ms|its creator
ms|child
ms|of Apophis' brood
ms|calf
ms|Grain
ms|Measure for fruits
ms|but
ms|Witness awe before
ms|Prince
mst|frond
mst|Frauzimmer, prostitute
msw|Creatures, children
ms-ꜥꜣt|Stonemason
ms-wdn|Sacrifice maker
ms-wdnw|Sacrifice maker
ms-mnfti҆w|Soldier child
ms-ntt|"he who created and he who is" = the demiurge
mst-sꜣ|Offspring
msꜣt|goose
msꜣḳt-i҆b|Nickname of the Sekhmet
msi҆|give birth
msi҆|dress
msi҆|Grain type
msi҆t|Foal {}
msi҆t|Firmly
msi҆t|Waterfowl
msi҆ꜣt|Mark
ms(i҆)wt|the one who gives birth = the mother
msi҆nt|Part of the body on the abdomen
mswt|Wheat food
msw|product
mswt|Offspring
mswt|birth
mswt|shape
mswt|dinner
mswt-ws-i҆r|1 leap day
msw-n-pr=f|Relatives of someone
msw-nb|Name of the sun bark
mswt-nbt-ḥt|5 leap day
msw-nswt|Princes and princesses
mswt-nṯrw|5 leap days
mswt-rꜥ|Celebration on New Years Day
msw-ḥr|Constellation
mswt-ḥr|2 leap day
mswt-ḫprww|Premature birth
mswt-st|4 leap day
mswt-stẖ|3 leap day
mswr|Drinking place
mswr|Waters in Ombos
mswt|image
msb|noun
msbb|praise
msbb|turn to someone
msbb|mounting
msbb|messing up the hair
mspr|3 day of the lunar month
mspr|noun
mspr|sanctuary
msprt|Haven
mspr-snnw|16 day
mspri҆t|6 night hour
msprti҆w|Workers
msmw|Country name
msmšmt|officially used plant
msn|be crazy
msn|Epithet of Hathor, madwoman
msn|Swimmer on harpoon line
msn|Place of worship of Horus of Edfu
msn|harpoon
msnt|Fabric, fabric
msnti҆|Spinners
msnti҆|Harpoon hunters
msnti҆|Designation of a priest in Edfu
msni҆|Type of statue making
msni҆|knife
msnw|Harpooners, harpoon hunters
msnḥ|turn over
msnḫn|Müller
msnšd|Worker of precious stones
msnt|wave
msnti҆|Construction pit for foundation
msnṯt|Epithet of the groove
msrt|Frames
msḥ|crocodile
msḥt|female crocodile
msḥ|walk
msḥt|Ship part
msḫ|Vessel for oil and wine as needed
msḫt|Waters
msḫꜣ|rejoice
msḫꜣ|bow
msḫꜣt|divine being
msḫꜣt|divine being
msḫꜣꜣt|Land dispatcher
msḫꜥ|Shine
msḫn|abode
msḫnt|abode
msḫnt|Goddess of birth
msḫt|Measure or container for oil
msḫt|poor
msḫti҆w|Hook at mouth opening
msḫti҆w|Great Bear constellation
msẖꜣ|fairway
mss|shivering with fear
mss|carpenter
mss|Ribbon, belt
msst|shirt
mss-n-ꜥḥꜣ|Mail shirt
mssbt|Metal tool
msḳ|Animal skin, leather
msḳ|weapon
msḳ|Art processing of metal weapons
msḳt|Part of the Theban necropolis
mskꜣ|fur
mskꜣt|Place of origin of stones in Khargeh
mski҆|rumor
msktt|Sun ship in the evening and at night
msktw|Arm ring
msgr|Cabinet of the King
mst|noun
mstw|bag
mstꜣ|basket
mstꜣ|liquid
mstꜣni҆|liquid
msti҆|liquid
msti҆|basket
msti҆|ship
msti҆w|Descendant
msti҆wt|Hathor
msti҆i҆r|chancellery
mstr|office
mstrt|tissue
mstḥ|noun
mstt|Scorpio
msttf|Scorpio
msṯwt|descendant
msṯpt|box
msd|clothe
msdt|dress
msdt|basket
msdt|Part of the body on the thigh
msdt|Nostrils
msdi҆|Metal vessel
msdmt|black eyeshadow
msdmi҆i҆|Galena finder
msḏi҆|to hate
msḏi҆t|Hated, hated
msḏr|ear
msḏḏt|Name for the rival
mš|except
mš|noun
mšt|Duck species
mšꜣi҆|leather chariot part
mšꜣb|Scoop
mšꜥ|army
mšꜥ|Warship
mšꜥ|expedition
mšꜥ|march
mšꜥ|cut off
mšꜥ|bird
mšꜥ|assignments
mšꜥt|army
mšꜥw|traveler
mšꜥt|Food
mšw|dagger
mšwš|Libyans
mšp|endeavor
mšpnt|illness
mšr|be in the evening
mšr|Furniture:
mšrw|afternoon
mšrw|Eve
mšrw|noun
mšrw|Country type
mšrwt|dinner
mšrr|Fitting of car parts
mšš|Ship part
mššwt|illness
mškb|Overseer
mšt|cut off, cut
mšt(i҆)|Illness:
mšṯ|Piece of jewelry
mšd|Woodworking
mšd|noun
mšd|be buried
mšd|send away
mšdt|ford
mšdd|Comb
mḳt|ladder
mḳꜥr|Oven of the baker
mḳmḳ|sleep, rest
mḳn|amulet
mḳnt|Washboard
mḳr|Rod
mḳr|oven
mḳr|Vessel
mḳrt|officially used
mḳrt|sacred snake
mḳrt|Situla
mḳḥ|remove
mḳḥt|Part of the head
mḳs|crush
mḳst|Crushing
mḳḳ|Farmland
mk|ship
mk|drive
mk|be covered
mk|material
mk|Subsistence, food
mk|Party
mk|be festive
mk|Vessel
mkt|Protection, magic protection
mkt|Place, place
mkt|Place of execution
mkt|Pedestal
mkt|coating
mkti҆|protector
mkt-nb=s|3 night hour
mkt-ḥꜥ|amulet
mkꜣ|bold
mkꜣ|deepening
mkꜣt|supporting substructure
mkꜣti҆|God
mkꜣti҆|Name of Osiris
mki҆|protect
mki҆w|soldiers
mkmrt|noun
mkr|ship
mkr|Merchant
mkrt|Name of Hathor
mkrr|colour
mkrt|Ship part
mkḥꜣ|Back of the head
mkḥꜣ|to neglect
mks|scepter
mkk|protect
mktr|Fortification tower
mg|Embers
mgꜣ|officially used plant
mgꜣ|young warrior
mgꜣ|Name of Seth, the crocodile
mgꜣt|Sad
mgꜣt|device
mgwn|noun
mgrg|liar
mgrg|jug
mgrt|cave
mgsp|Box, basket
mt|die, be dead
mt|Death, dying
mt|Dead
mt|Vessel
mt|Suppositories
mt|mother
mtt|fitness
mt-i҆fd|square piece of linen
mt-n-bꜣḳt|Cause of death
mtt-ḥmt|dead
mtꜣ|stab
mtꜣ|noun
mtꜣi҆t|Pike
mti҆|Chief
mti҆|correct
mti҆|correct quantum
mti҆|Rope
mti҆|Worse
mti҆t|Straightness of character
mti҆t|flood
mtwt|Seed
mtwt|Poison
mtwhr|title
mtbr|Battlefield
mtpnt|Dagger sheath
mtft|dagger
mtmt|talk back and forth
mtmt|Hatred and gossip
mtn|give presents
mtn|Tax list
mtn|cut off, chop up
mtni҆t|Knife, hatchet
mtnw|Products
mtnw|label
mtnwt|reward
mtr|to die
mtr|be present
mtr|Presence, closeness
mtr|testimony
mtr|exactly right
mtr|accuracy
mtr|flood
mtrt|testimony
mtrt|Noon
mtrt|Made of leather
mtr-i҆b|sincere heart
mtr-ns|sincere
mtr-ḥnb|Assign property
mtrw|witness
mtrw|written certificate
mtrw|soldiers
mtrḥ|Wooden weapon
mtrḫt|Home appliance
mtḥnt|girl
mtḏi҆|Whip
mṯt|Bowl for water, wine
mṯꜣ|phallus
mṯꜣ|challenge
mṯꜣ|title
mṯꜣ|Outrageous
mṯꜣt|from inherited land holdings
mṯꜣt|Decorator
mṯꜣm|Garment for girls
mṯwn|Bull battlefield
mṯpnt|Apron
mṯprt|noun
mṯn|instruct
mṯn|path
mṯn|leader
mṯn|Doorkeeper in heaven
mṯn|Entertains
mṯn|take, pack
mṯn-pšn|Designation of a path
mṯk|Mixed drink
mdt|Word, speech
mdt-pḥti҆|Honor
mdt-n-ḫꜣm|service
mdt-ḥꜣpt|hidden things
mdt-kmt|Egyptian language
mdꜣm|belt
mdi҆|at
mdi҆|Name of the sun god
mdi҆|Name of Seth
mdi҆n|dominate
mdw|Rod
mdw|speak
mdw|word
mdw|Orator, defense attorney
mdwt|noun
mdwti҆|Frequent talkers
mdw-nṯr|Words of God
mdw-ḳnw|Honor
mdww|Caller
mdn|be quiet, rest
mdn|knife
mdn|Sharper, grinder
mdn-ḫs(f)|Sharpening stone for the razor
mdnw?|impotence
mdnb|Landmark
mds|be violent
mds|Violent
mds|be excellent
mds|knife
mdsw|Excellent
mdd|Measure for wine
mḏ|ten
mḏ|Rod
mḏ|be deep, deep
mḏt|Clamp or shackle
mḏt|barn
mḏt|ointment
mḏti҆|Ointment maker
mḏꜣ|Land near Nubia
mḏꜣ|as an amulet
mḏꜣ|Measure for dates
mḏꜣ|to be locked in
mḏꜣ|fertilize << reads: {mTA} >>
mḏꜣt|Suction pipe
mḏꜣt|Document, scroll
mḏꜣt|Digger
mḏꜣt|Accessories of the network
mḏꜣt|Wooden stake, wooden tenon
mḏꜣw|Adversary
mḏꜣt-ḥꜥpi҆|Name of the Nile Festival
mḏꜣi҆|Policeman, hunter
mḏꜣi҆|Offering
mḏꜣi҆|Vessel for beer
mḏꜣi҆|device
mḏꜣi҆i҆t|material
mḏꜣb|scoop
mḏꜣbt|ladle
mḏꜣbt|Part of the ship
mḏwt|depth
mḏft|Device with mouth opening
mḏr|noun
mḏr|roll over
mḏr|turn to
mḏrn|noun
mḏḥ|belt
mḏḥ|Head bandage
mḏḥ|Wrap your head
mḏḥ|Wood, carpentry
mḏḥt|Carpentry
mḏḥt|brown wood
mḏḥti҆|Anointing oil
mḏḥw|Carpenter
mḏḳ|Vessel
mḏḳti҆|Vessel
mḏd|to meet
mḏd|Fron
mḏdt|proportion of
mḏdt|book
mḏdw|Body part of a snake
mḏd-ꜥ|Need
mḏd-wꜣt|be devoted to someone
mḏd-mṯn|be devoted to someone
mḏdw|Deity
mḏdḥt|mortar
n|for the benefit or harm of someone
n|because of
n|if
n|as
n|as
nt|belonging to
nt|piece
nt|red crown of Lower Egypt
nt|Goddess Neith
nt|water
nt|Village City
n-ꜣbw|in order to
n-ꜣr=f|Abusir el Melek necropolis
n-i҆b|in order to
nt-ꜥ|Custom
n-wn|Designation of the celestial waters
n-wn|he did not
n-wnt|because
n-wḥs|without getting tired
n-ws|incessantly
n-wšr|don't miss, don't stop
n-bnr|Outside
n-ptr|unseen
n-mꜣꜣ|invisible
n-mꜣꜥt|true
n-mꜣwt|New
n-mrwt|in order to
n-mḥ=f|Nephrite, stone to scarabs
n-mt|because of
n-nwr|incessantly
n-nhi҆-n=f|he has no shortage
n-nhw=f|nothing is missing
n-ntt|because
n-rnpt|yearly
n-rdi҆|don't allow that
n-hꜣw=f|at the time
n-hrw|Every day
n-ḥꜥ=f|his own
n-ḥr|in front
n-ḥrt|up
n-ḥrw|up
nt-ḥsb|Accounting
nt-ḥtr|Car fighter
n-ḥḏꜣi҆|without ceasing
n-ḫb=s|without diminution
n-ḫft|according to
n-ḫft-ḥr|in front
n-ḫn|without rest
n-ḫt|after that
n-ḫt|behind, with someone, up
n-ḫt-nḥḥ|future
n-ẖrw|downward
n-sp|No way
n-sn|without exception, omission
n-sn-ḫwd|without omission
n-srfti҆|without being idle
n-stp|Chosen one
n-tp-šw|without effort
n-ḏt|forever
n-ḏt-ḏt|forever
nꜣ|this
nꜣ|the
nꜣ-(n)|these
nꜣ-ḥmt|Craftsman
nꜣ-ḏꜣḏꜣ|Place name
nꜣi҆|these
nꜣi҆t|House
nꜣi҆i҆|Wood; for building ships
nꜣi҆=n|our
nꜣi҆=s|you
nꜣi҆=k|your
nꜣi҆i҆w|Wood for ships
nꜣw|Breath of air
nꜣw|barbaric troops
nꜣwt|plant
nꜣbt|Curl
nꜣbti҆|Beings in the hereafter
nꜣp|Curl
nꜣš|cursed, perishable
nꜣš|top
nꜣti҆i҆|divine cupbearer
ni҆|fill with water
ni҆t|step
ni҆t|Bowl, jug
ni҆|belonging to
ni҆|reject
ni҆|According to a newborn
ni҆t|Evil
ni҆t|Plaintiff
ni҆i҆|Be a child, rejuvenate
ni҆i҆t|oval
ni҆i҆t|abode
ni҆-i҆b|Darling
ni҆-mrwt|popular
ni҆-st-i҆b|Darling
ni҆-ḏt|Foundation official
ni҆ꜣ|to reject someone
ni҆ꜣ|Disease in the nose
ni҆ꜣwt|Capricorn herd
ni҆ꜣi҆ꜣ|plant
ni҆ꜣw|Capricorn
ni҆i҆|Prep {n} adv used
ni҆i҆|prostrate
ni҆w|Primeval ocean
ni҆w|Breath of air
ni҆w|Ostrich
ni҆w|pot
ni҆w|one of the 8 primordial deities
ni҆wt|House
ni҆wt|one of the 8 female primordial deities
ni҆wi҆|spear
ni҆wi҆|Job title
ni҆wi҆|come to a standstill
ni҆wi҆|Waters
ni҆wi҆w|officially used plant
ni҆wi҆w|be happy
ni҆wbn|fragrant tree
ni҆b|Wood
ni҆fi҆f|Grief
ni҆m|rejoice
ni҆n|Strands
ni҆ni҆|Greeting
ni҆i҆ni҆i҆|damage
ni҆s|flame
ni҆s|call
ni҆s|Call
ni҆s|Part of the turtle
ni҆sw|Caller
ni҆swi҆|Testicles
ni҆s-ḥsbw|calculate
ni҆k|Punish
ni҆k|to punish, evil one
ni҆k|Punitive
ni҆kwt|knife
ni҆ti҆t|hesitate, hesitate
ni҆d|Term for something impure, evil
ni҆ḏw|body part
nꜥ|kind
nꜥ|Announce death
nꜥ|Kindness, gentleness
nꜥt|Snake
nꜥt|travel
nꜥꜣḏt|illness
nꜥi҆|mate
nꜥi҆|drive in the ship
nꜥi҆|Twist ropes
nꜥi҆|Seiler
nꜥi҆t|House
nꜥi҆t|Stake on the bow for mooring
nꜥꜥ|be colorful
nꜥꜥ|multicolored fabric
nꜥꜥ|Best of something
nꜥꜥw|defamation
nꜥw|Snake
nꜥwti҆|Designation of God
nꜥwti҆|Name of the sun god
nꜥw-wr|God of the 23rd lunar month day
nꜥwt|?
nꜥr|catfish
nꜥrt|tree
nꜥrt|noun
nꜥrw|bird
nꜥr-msdt|catfish
nꜥrꜥt|something about a tumor
nꜥrn|Troop in the Egyptian army
nꜥḫ|Bunch of vegetables
nꜥš|strong, loud
nꜥš|Nickname of the lion-shaped gargoyle
nꜥš|Leap
nꜥg|crush
nꜥg|something on the door leaf
nꜥgw|Flour
nw|pot
nw|this
nw|desert
nw|Gesture of greeting
nw|weak
nw|Wrong
nw|bird
nw|Fragrant food from punt
nw|see
nw|Look
nw|goddess
nw|Hunter
nw|time
nw|spend time
nw|envelop
nw|to return
nwt|Village City
nwt|Thebes
nwt|city
